SeriesTicker,SeriesName,EventTicker,MarketTicker,Time,EventEndTime,VolumeInDollar,OpenInterest,YesProb,NoProb,EventResult,RulesPrimary,KalshiURL,Tags
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11EKYLIP,KXNCAAMBGAME-26FEB11EKYLIP-LIP,2026-02-11T21:00:00+00:00,2026-02-12T03:12:01Z,29359.00,956,0.73,0.27,yes,"If Lipscomb wins the Eastern Kentucky at Lipscomb men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11ekylip,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11UNDSDAK,KXNCAAMBGAME-26FEB11UNDSDAK-UND,2026-02-11T22:00:00+00:00,2026-02-12T03:12:00Z,92895.00,2465,0.46,0.54,yes,"If North Dakota wins the North Dakota at South Dakota men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11undsdak,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11UNDSDAK,KXNCAAMBGAME-26FEB11UNDSDAK-SDAK,2026-02-11T21:00:00+00:00,2026-02-12T03:12:00Z,111922.00,1094,0.55,0.45,no,"If South Dakota wins the North Dakota at South Dakota men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11undsdak,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11BGSUNIU,KXNCAAMBGAME-26FEB11BGSUNIU-NIU,2026-02-11T21:00:00+00:00,2026-02-12T03:15:53Z,18394.00,1032,0.27,0.73,no,"If Northern Illinois wins the Bowling Green at Northern Illinois men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11bgsuniu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11BGSUNIU,KXNCAAMBGAME-26FEB11BGSUNIU-BGSU,2026-02-11T21:00:00+00:00,2026-02-12T03:15:53Z,17958.00,1611,0.75,0.25,yes,"If Bowling Green wins the Bowling Green at Northern Illinois men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11bgsuniu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11TEMTULN,KXNCAAMBGAME-26FEB11TEMTULN-TULN,2026-02-11T22:00:00+00:00,2026-02-12T04:01:52Z,116189.00,17381,0.51,0.49,yes,"If Tulane wins the Temple at Tulane men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11temtuln,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11TEMTULN,KXNCAAMBGAME-26FEB11TEMTULN-TEM,2026-02-11T22:00:00+00:00,2026-02-12T04:01:52Z,89623.00,10191,0.5,0.5,no,"If Temple wins the Temple at Tulane men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11temtuln,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11CONNBUT,KXNCAAMBGAME-26FEB11CONNBUT-CONN,2026-02-11T21:00:00+00:00,2026-02-12T02:52:16Z,797444.00,58158,0.87,0.13,yes,"If UConn wins the UConn at Butler men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11connbut,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11CONNBUT,KXNCAAMBGAME-26FEB11CONNBUT-BUT,2026-02-11T21:00:00+00:00,2026-02-12T02:52:16Z,650740.00,14196,0.14,0.86,no,"If Butler wins the UConn at Butler men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11connbut,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11MRSHODU,KXNCAAMBGAME-26FEB11MRSHODU-ODU,2026-02-11T21:00:00+00:00,2026-02-12T03:21:24Z,290037.00,1236,0.43,0.57,no,"If Old Dominion wins the Marshall at Old Dominion men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11mrshodu,Basketball
